"Time","Value"
1734707271000,
1734707271500,689
1734707272000,
1734707272500,
1734707273000,
1734707273500,689
1734707274000,
1734707274500,
1734707275000,
1734707275500,689
1734707276000,
1734707276500,
1734707277000,
1734707277500,690
1734707278000,
1734707278500,
1734707279000,
1734707279500,687
1734707280000,
1734707280500,
1734707281000,689
1734707281500,
1734707282000,
1734707282500,
1734707283000,690
1734707283500,
1734707284000,
1734707284500,
1734707285000,689
1734707285500,
1734707286000,
1734707286500,
1734707287000,689
1734707287500,
1734707288000,
1734707288500,
1734707289000,687
1734707289500,
1734707290000,
1734707290500,689
1734707291000,
1734707291500,
1734707292000,
1734707292500,690
1734707293000,
1734707293500,
1734707294000,
1734707294500,689
1734707295000,
1734707295500,
1734707296000,
1734707296500,688
1734707297000,
1734707297500,
1734707298000,
1734707298500,689
1734707299000,
1734707299500,
1734707300000,
1734707300500,688
1734707301000,
1734707301500,
1734707302000,
1734707302500,689
1734707303000,
1734707303500,
1734707304000,
1734707304500,691
1734707305000,
1734707305500,
1734707306000,689
1734707306500,
1734707307000,
1734707307500,
1734707308000,689
1734707308500,
1734707309000,
1734707309500,
1734707310000,689
1734707310500,
1734707311000,
1734707311500,689
1734707312000,
1734707312500,
1734707313000,
1734707313500,688
1734707314000,
1734707314500,
1734707315000,
1734707315500,687
1734707316000,
1734707316500,
1734707317000,
1734707317500,691
1734707318000,
1734707318500,
1734707319000,689
1734707319500,
1734707320000,
1734707320500,
1734707321000,689
1734707321500,
1734707322000,
1734707322500,
1734707323000,691
1734707323500,
1734707324000,
1734707324500,
1734707325000,689
1734707325500,
1734707326000,
1734707326500,
1734707327000,689
1734707327500,
1734707328000,
1734707328500,
1734707329000,690
1734707329500,
1734707330000,
1734707330500,
1734707331000,688
1734707331500,
1734707332000,
1734707332500,690
1734707333000,
1734707333500,
1734707334000,
1734707334500,689
1734707335000,
1734707335500,
1734707336000,
1734707336500,686
1734707337000,
1734707337500,
1734707338000,689
1734707338500,
1734707339000,
1734707339500,
1734707340000,691
1734707340500,
1734707341000,
1734707341500,
1734707342000,689
1734707342500,
1734707343000,
1734707343500,
1734707344000,689
1734707344500,
1734707345000,
1734707345500,
1734707346000,690
1734707346500,
1734707347000,
1734707347500,691
1734707348000,
1734707348500,
1734707349000,
1734707349500,689
1734707350000,
1734707350500,
1734707351000,
1734707351500,688
1734707352000,
1734707352500,
1734707353000,
1734707353500,689
1734707354000,
1734707354500,
1734707355000,
